date,elec1,elec2,elec3,elec4,elec5
2014-06-02,168.64999999999998,400.18000000000006,422.41100000000006,569.6800000000001,0.0
2014-06-03,166.74999999999997,393.09999999999997,449.986,597.0200000000001,0.0
2014-06-04,151.2,371.87999999999994,443.29300000000006,627.7199999999998,0.0
2014-06-05,159.0,359.12,405.86199999999997,591.5600000000002,0.0
2014-06-06,172.54999999999998,366.12,399.509,615.0999999999999,0.0
2014-06-07,148.65000000000003,182.6,123.54600000000002,282.03999999999996,0.0
2014-06-08,156.40000000000003,263.46000000000004,132.621,285.08000000000004,0.0
2014-06-09,255.70000000000002,449.4399999999998,415.51400000000007,632.5399999999998,0.0
2014-06-10,296.3999999999999,475.98,416.09,636.0799999999999,0.0
2014-06-11,281.69999999999993,492.1999999999998,433.1549999999999,629.3799999999999,0.0
2014-06-12,291.05,487.90000000000003,425.61700000000013,653.42,0.0
2014-06-13,308.65,486.6400000000001,427.4000000000001,646.3000000000002,0.0
2014-06-14,242.09999999999997,322.82,126.572,313.4800000000001,0.0
2014-06-15,211.4,324.71999999999997,129.08599999999996,297.7399999999999,0.0
2014-06-16,268.15,505.38000000000005,408.12600000000003,584.12,0.0
2014-06-17,272.1,542.9599999999999,417.9219999999999,595.4399999999999,0.0
2014-06-18,296.3500000000001,498.50000000000006,405.32500000000005,649.22,0.0
2014-06-19,252.75000000000003,515.88,402.07899999999995,596.5,0.0
2014-06-20,188.09999999999997,467.4,386.1399999999999,599.1000000000001,0.0
2014-06-21,151.39999999999998,321.46,119.95800000000001,316.69999999999993,0.0
2014-06-22,157.40000000000003,320.00000000000006,129.194,315.92,0.0
2014-06-23,223.75,505.5800000000001,432.7079999999999,642.3199999999999,0.0
2014-06-24,246.9,502.46,412.84200000000004,695.6800000000001,0.0
2014-06-25,238.00000000000003,508.92,402.22700000000003,702.0400000000004,0.0
2014-06-26,211.70000000000005,488.21999999999997,407.376,611.0800000000002,0.0
2014-06-27,219.79999999999995,478.22,414.9789999999999,615.1599999999999,0.0
2014-06-28,124.65000000000003,312.04,137.15500000000003,291.90500000000003,0.0
2014-06-29,113.65000000000002,314.78000000000003,128.627,298.47,0.0
2014-06-30,138.85000000000005,501.9599999999999,412.709,611.9399999999999,0.0
2014-07-01,158.55000000000007,504.16,430.8540000000001,599.5599999999998,0.0
2014-07-02,198.29999999999995,508.79999999999995,425.5919999999999,667.7800000000001,0.0
2014-07-03,268.54999999999995,542.56,417.9609999999999,660.5199999999999,0.0
2014-07-04,284.05,541.5400000000001,351.00300000000004,672.3599999999998,0.0
2014-07-05,166.64999999999998,320.1000000000001,120.05400000000003,352.84,0.0
2014-07-06,147.90000000000003,311.80000000000007,124.331,329.88000000000005,0.0
2014-07-07,183.85000000000002,509.20000000000005,420.46299999999997,646.2400000000001,0.0
2014-07-08,151.6,489.6399999999998,434.749,608.72,0.0
2014-07-09,164.64999999999995,519.48,412.54700000000014,620.54,0.0
2014-07-10,148.75000000000006,502.6199999999999,408.78100000000006,572.8800000000001,0.0
2014-07-11,137.4,473.8,403.218,569.0799999999999,0.0
2014-07-12,121.45000000000003,273.1599999999999,135.44400000000002,271.73999999999995,0.0
2014-07-13,137.85,304.62000000000006,118.42399999999998,251.31999999999996,0.0
2014-07-14,178.89999999999998,489.2199999999999,418.5250000000001,656.02,0.0
2014-07-15,225.6,547.12,447.214,690.1200000000002,0.0
2014-07-16,251.8,654.6199999999999,426.77900000000005,698.7399999999998,0.0
2014-07-17,297.05,577.9200000000002,418.281,699.38,0.0
2014-07-18,362.85000000000014,497.61999999999995,396.92099999999994,694.4599999999999,0.0
2014-07-19,279.0,353.7999999999999,121.23199999999999,412.7600000000001,0.0
2014-07-20,245.9,355.14,128.09099999999998,402.96000000000004,0.0
2014-07-21,303.54999999999995,525.08,404.3980000000001,725.3799999999999,0.0
2014-07-22,298.6,522.8399999999999,414.13199999999995,727.1,0.0
2014-07-23,305.49999999999994,503.3999999999999,434.6230000000001,775.5199999999999,0.0
