date,elec1,elec2,elec3
2014-09-09,900.1,968.52,0.008
2014-09-10,929.1000000000003,965.5639999999999,0.006
2014-09-11,945.4,906.9219999999999,0.006
2014-09-12,936.6000000000003,976.3990000000001,0.003
2014-09-13,431.60000000000014,131.98600000000002,0.008
2014-09-14,454.1,122.03999999999996,0.0
2014-09-15,890.2000000000003,968.3489999999999,0.001
2014-09-16,934.1000000000003,1019.4079999999996,0.005
2014-09-17,955.4999999999998,993.5279999999996,0.008
2014-09-18,934.0,1077.798,0.010000000000000002
2014-09-19,918.7999999999998,1114.1010000000006,0.006
2014-09-20,410.6,142.76700000000002,0.001
2014-09-21,395.5999999999999,149.85900000000004,0.0
2014-09-22,904.3999999999997,999.441,0.002
2014-09-23,933.0999999999999,962.773,0.006
2014-09-24,919.0999999999999,902.064,0.004
2014-09-25,940.7000000000002,939.3449999999999,0.007
2014-09-26,925.7,955.25,0.003
2014-09-27,495.00000000000006,143.531,0.002
2014-09-28,415.00000000000006,123.31399999999996,0.0
2014-09-29,939.1999999999999,1012.2119999999999,0.003
2014-09-30,926.1999999999997,1012.1849999999998,0.005
2014-10-01,935.6999999999998,1041.2,0.003
2014-10-02,914.4000000000003,987.987,0.006
2014-10-03,898.1,997.345,0.007
2014-10-04,436.8000000000001,151.78,0.001
2014-10-05,392.3,148.305,0.0
2014-10-06,889.0000000000002,778.3259999999996,0.010000000000000002
2014-10-07,916.8999999999996,787.253,0.009000000000000001
2014-10-08,931.9000000000001,789.081,0.007
2014-10-09,956.2,789.9879999999999,0.001
2014-10-10,947.1000000000001,832.679,0.0
2014-10-11,425.8999999999999,152.16400000000002,0.0
2014-10-12,422.3000000000001,145.239,0.0
2014-10-13,958.1000000000003,783.4590000000001,0.0
2014-10-14,940.0,790.9810000000001,0.0
2014-10-15,940.0999999999999,809.656,0.0
2014-10-16,945.7000000000002,857.1949999999997,0.0
2014-10-17,963.7999999999997,950.2020000000001,0.0
2014-10-18,505.79999999999995,160.65200000000002,0.0
2014-10-19,425.5,161.16500000000002,0.001
2014-10-20,941.1000000000003,858.0629999999999,0.0
2014-10-21,938.4999999999999,811.7510000000001,0.0
2014-10-22,982.5,814.785,0.001
2014-10-23,952.6999999999999,820.6769999999999,0.0
2014-10-24,936.8,863.161,0.005
2014-10-25,490.1999999999999,176.32900000000004,0.004
2014-10-26,462.2,166.48500000000007,0.002
2014-10-27,958.9,886.5810000000004,0.010000000000000002
2014-10-28,987.8,906.921,0.005
2014-10-29,967.1,827.774,0.011000000000000003
2014-10-30,966.7999999999997,873.152,0.011000000000000003
2014-10-31,936.6999999999998,977.8059999999998,0.008
2014-11-01,520.0999999999999,155.54799999999997,0.008
2014-11-02,402.10000000000014,182.27300000000005,0.001
